res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.9555,0.9555
CYS,HSG,0.9555,0.9555
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.5474,0.5474
ASP,HCG,0.5474,0.5474
ASP,OD1,0.9479,0.9479
ASP,HOD1,0.9479,0.9479
ASP,OD2,1.0576,1.0576
ASP,HOD2,1.0576,1.0576
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.7156,0.7156
GLU,HCD,0.7156,0.7156
GLU,CG,0.4279,0.4279
GLU,HCG,0.4279,0.4279
GLU,OE1,0.9697,0.9697
GLU,HOE1,0.9697,0.9697
GLU,OE2,1.1436,1.1436
GLU,HOE2,1.1436,1.1436
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.4041,0.4041
PHE,HCD1,0.4041,0.4041
PHE,CD2,0.4687,0.4687
PHE,HCD2,0.4687,0.4687
PHE,CE1,0.5134,0.5134
PHE,HCE1,0.5134,0.5134
PHE,CE2,0.5983,0.5983
PHE,HCE2,0.5983,0.5983
PHE,CG,0.187,0.187
PHE,HCG,0.187,0.187
PHE,CZ,0.5103,0.5103
PHE,HCZ,0.5103,0.5103
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.6861,0.6861
HIS,HCD2,0.6861,0.6861
HSD,CD2,0.6861,0.6861
HSP,CD2,0.6861,0.6861
HSD,HCD2,0.6861,0.6861
HSP,HCD2,0.6861,0.6861
HIS,CE1,0.7345,0.7345
HIS,HCE1,0.7345,0.7345
HSD,CE1,0.7345,0.7345
HSP,CE1,0.7345,0.7345
HSD,HCE1,0.7345,0.7345
HSP,HCE1,0.7345,0.7345
HIS,CG,0.2017,0.2017
HIS,HCG,0.2017,0.2017
HSD,CG,0.2017,0.2017
HSP,CG,0.2017,0.2017
HSD,HCG,0.2017,0.2017
