res_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.9555,0.9555
CYS,HSG,0.9555,0.9555
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.177,0.177
ASP,HCG,0.177,0.177
ASP,OD1,0.5235,0.5235
ASP,HOD1,0.5235,0.5235
ASP,OD2,0.5978,0.5978
ASP,HOD2,0.5978,0.5978
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.3103,0.3103
GLU,HCD,0.3103,0.3103
GLU,CG,0.1849,0.1849
GLU,HCG,0.1849,0.1849
GLU,OE1,0.6168,0.6168
GLU,HOE1,0.6168,0.6168
GLU,OE2,0.7319,0.7319
GLU,HOE2,0.7319,0.7319
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.3842,0.3842
PHE,HCD1,0.3842,0.3842
PHE,CD2,0.4356,0.4356
PHE,HCD2,0.4356,0.4356
PHE,CE1,0.4919,0.4919
PHE,HCE1,0.4919,0.4919
PHE,CE2,0.5647,0.5647
PHE,HCE2,0.5647,0.5647
PHE,CG,0.1813,0.1813
PHE,HCG,0.1813,0.1813
PHE,CZ,0.4928,0.4928
PHE,HCZ,0.4928,0.4928
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.6426,0.6426
HIS,HCD2,0.6426,0.6426
HSD,CD2,0.6426,0.6426
HSP,CD2,0.6426,0.6426
HSD,HCD2,0.6426,0.6426
HSP,HCD2,0.6426,0.6426
HIS,CE1,0.7476,0.7476
HIS,HCE1,0.7476,0.7476
HSD,CE1,0.7476,0.7476
HSP,CE1,0.7476,0.7476
HSD,HCE1,0.7476,0.7476
HSP,HCE1,0.7476,0.7476
HIS,CG,0.2011,0.2011
HIS,HCG,0.2011,0.2011
HSD,CG,0.2011,0.2011
HSP,CG,0.2011,0.2011
HSD,HCG,0.2011,0.2011
