residue_type,atom_name,mu,sigma
CYS,CB,0.0568,0.0568
CYS,HCB,0.0568,0.0568
CYS,SG,0.9555,0.9555
CYS,HSG,0.9555,0.9555
ASP,CB,0.0591,0.0591
ASP,HCB,0.0591,0.0591
ASP,CG,0.7673,0.7673
ASP,HCG,0.7673,0.7673
ASP,OD1,1.2329,1.2329
ASP,HOD1,1.2329,1.2329
ASP,OD2,1.3044,1.3044
ASP,HOD2,1.3044,1.3044
GLU,CB,0.0555,0.0555
GLU,HCB,0.0555,0.0555
GLU,CD,0.8939,0.8939
GLU,HCD,0.8939,0.8939
GLU,CG,0.5097,0.5097
GLU,HCG,0.5097,0.5097
GLU,OE1,1.2185,1.2185
GLU,HOE1,1.2185,1.2185
GLU,OE2,1.3242,1.3242
GLU,HOE2,1.3242,1.3242
PHE,CB,0.0615,0.0615
PHE,HCB,0.0615,0.0615
PHE,CD1,0.4041,0.4041
PHE,HCD1,0.4041,0.4041
PHE,CD2,0.4687,0.4687
PHE,HCD2,0.4687,0.4687
PHE,CE1,0.5134,0.5134
PHE,HCE1,0.5134,0.5134
PHE,CE2,0.5983,0.5983
PHE,HCE2,0.5983,0.5983
PHE,CG,0.187,0.187
PHE,HCG,0.187,0.187
PHE,CZ,0.5103,0.5103
PHE,HCZ,0.5103,0.5103
HIS,CB,0.054,0.054
HIS,HCB,0.054,0.054
HSD,CB,0.054,0.054
HSP,CB,0.054,0.054
HSD,HCB,0.054,0.054
HSP,HCB,0.054,0.054
HIS,CD2,0.745,0.745
HIS,HCD2,0.745,0.745
HSD,CD2,0.745,0.745
HSP,CD2,0.745,0.745
HSD,HCD2,0.745,0.745
HSP,HCD2,0.745,0.745
HIS,CE1,0.6594,0.6594
HIS,HCE1,0.6594,0.6594
HSD,CE1,0.6594,0.6594
HSP,CE1,0.6594,0.6594
HSD,HCE1,0.6594,0.6594
HSP,HCE1,0.6594,0.6594
HIS,CG,0.1788,0.1788
HIS,HCG,0.1788,0.1788
HSD,CG,0.1788,0.1788
HSP,CG,0.1788,0.1788
HSD,HCG,0.1788,0.1788
